period,lag,N,F_stat,ETI,SE,t_stat,ages,major_reforms
Annual (1978-1993),3,31832,1349.3616,-.17340785,.12352825,-1.4037911,17-35,"ERTA 1981, TRA 1986"
Biennial (1995-2019),2,47201,987.77771,.5438264,.16773318,3.2422113,31-62,"EGTRRA 2001, JGTRRA 2003, TCJA 2017"
