tau_p_bs,delta_bs,gamma_bs,eps_bs
.18888049,.62236118,.83405119,.36855182
.17166591,.56563914,.81722784,.25778291
.18266656,.60188633,.83841038,.31977618
.18632244,.61393243,.83120745,.35253555
.17675032,.58239228,.85910636,.26029703
.18819195,.62009245,.83265662,.36480817
.17307843,.57029343,.85483772,.23742995
.19796588,.65229756,.84142667,.42752558
.18614249,.61333948,.83222336,.35032851
.17017426,.56072414,.84357411,.22542468
.17923704,.59058607,.82527566,.30620882
.17818406,.58711648,.83366787,.29137352
.19036396,.62724924,.85319394,.362427
.19901411,.65575147,.84661829,.43030536
.19987202,.65857828,.84146315,.44123682
.21013826,.69240558,.83716774,.51948667
.17570746,.57895607,.8359319,.27154368
.18176262,.59890783,.84000486,.31188917
.18164465,.59851909,.83946425,.31149656
.18034986,.59425277,.83629,.3048349
.21114719,.69572997,.85251492,.51182121
.19365722,.6381005,.84314561,.39490992
.17303215,.57014096,.84321851,.24628943
.17543122,.57804585,.82802325,.27614927
.19649783,.64746034,.85579473,.40402064
.21254066,.7003215,.85540426,.51902384
.16716056,.55079406,.83109087,.21353026
.15836573,.52181506,.82787013,.15212534
.18899986,.62275457,.83903712,.36497983
.19097179,.62925202,.84180903,.37675175
.18837813,.6207059,.84982866,.35109541
.18490006,.60924572,.82292145,.3495906
.17198713,.5666976,.84207958,.23967148
.16762984,.55234033,.8537932,.19926547
.1813975,.59770477,.8219676,.32486808
.19645777,.64732838,.83790487,.41988429
.19062944,.628124,.85062569,.36654985
.17602858,.58001417,.81837046,.288757
.18269657,.60198516,.84483868,.31452975
.16741118,.55161983,.83570904,.21168196
.17941324,.59116662,.82198775,.31035817
.16126683,.53137422,.82176083,.17800304
